"row_id","split","cv_fold"
324,"train",3
325,"train",10
326,"test",NA
327,"train",9
328,"train",2
329,"test",NA
330,"train",2
331,"test",NA
332,"train",6
333,"test",NA
334,"train",10
335,"test",NA
336,"test",NA
337,"train",1
338,"train",2
339,"train",8
340,"test",NA
341,"train",3
342,"train",6
343,"train",10
344,"train",5
345,"train",10
346,"train",10
347,"train",9
348,"train",8
349,"train",6
350,"train",8
351,"train",1
352,"test",NA
353,"train",1
354,"train",2
355,"train",4
356,"train",2
357,"train",6
358,"train",8
359,"train",6
360,"train",10
361,"train",10
362,"train",8
363,"train",7
364,"train",3
365,"train",1
366,"train",1
367,"train",4
368,"train",3
369,"test",NA
370,"train",2
371,"train",1
372,"train",1
373,"train",4
374,"train",4
375,"train",5
376,"train",1
377,"test",NA
378,"train",6
379,"train",9
380,"train",1
381,"train",6
382,"train",10
383,"train",7
384,"train",5
385,"test",NA
386,"train",4
387,"test",NA
388,"train",6
389,"train",10
390,"train",7
391,"test",NA
392,"train",1
393,"train",4
394,"train",6
395,"train",6
396,"train",5
397,"train",4
398,"train",3
399,"train",4
400,"train",6
401,"train",3
402,"test",NA
403,"test",NA
404,"train",6
405,"train",4
406,"train",2
407,"train",5
408,"train",5
409,"test",NA
410,"train",7
411,"train",10
412,"train",8
413,"train",10
414,"train",2
415,"train",10
416,"train",6
417,"test",NA
418,"train",3
419,"train",3
420,"train",5
421,"train",7
422,"test",NA
423,"test",NA
424,"train",1
425,"train",3
426,"train",7
427,"test",NA
428,"test",NA
429,"train",2
430,"train",10
431,"train",5
432,"train",9
433,"train",3
434,"train",4
435,"train",4
436,"train",1
437,"train",1
438,"train",6
439,"train",2
440,"test",NA
441,"train",6
442,"train",8
