"row_id","split","cv_fold"
155,"test",
156,"train",5
157,"train",6
158,"train",7
159,"train",8
160,"test",
161,"train",9
162,"train",10
163,"train",1
164,"train",2
165,"test",
166,"train",3
167,"train",4
168,"train",5
169,"train",6
170,"test",
171,"train",7
172,"train",8
173,"train",9
174,"train",10
175,"test",
176,"train",1
177,"train",2
178,"train",3
179,"train",4
180,"test",
181,"train",5
182,"train",6
183,"train",7
184,"train",8
185,"test",
186,"train",9
187,"train",10
188,"train",1
189,"train",2
190,"test",
191,"train",3
192,"train",4
193,"train",5
194,"train",6
195,"test",
196,"train",7
197,"train",8
198,"train",9
199,"train",10
200,"test",
201,"train",1
202,"train",2
203,"train",3
204,"train",4
205,"test",
206,"train",5
207,"train",6
208,"train",7
209,"train",8
210,"test",
211,"train",9
212,"train",10
213,"train",1
214,"train",2
215,"test",
216,"train",3
217,"train",4
218,"train",5
219,"train",6
220,"test",
221,"train",7
222,"train",8
223,"train",9
224,"train",10
225,"test",
226,"train",1
227,"train",2
228,"train",3
229,"train",4
230,"test",
231,"train",5
232,"train",6
233,"train",7
234,"train",8
235,"test",
236,"train",9
237,"train",10
238,"train",1
239,"train",2
240,"test",
241,"train",3
242,"train",4
243,"train",5
244,"train",6
245,"test",
246,"train",7
247,"train",8
248,"train",9
249,"train",10
250,"test",
251,"train",1
252,"train",2
253,"train",3
254,"train",4
255,"test",
256,"train",5
257,"train",6
258,"train",7
259,"train",8
260,"test",
261,"train",9
262,"train",10
263,"train",1
264,"train",2
265,"test",
266,"train",3
267,"train",4
268,"train",5
269,"train",6
270,"test",
271,"train",7
272,"train",8
273,"train",9
274,"train",10
275,"test",
276,"train",1
277,"train",2
278,"train",3
279,"train",4
280,"test",
281,"train",5
282,"train",6
283,"train",7
284,"train",8
285,"test",
286,"train",9
287,"train",10
288,"train",1
289,"train",2
290,"test",
291,"train",3
292,"train",4
293,"train",5
294,"train",6
295,"test",
296,"train",7
297,"train",8
298,"train",9
299,"train",10
300,"test",
301,"train",1
302,"train",2
303,"train",3
304,"train",4
305,"test",
306,"train",5
307,"train",6
308,"train",7
309,"train",8
310,"test",
311,"train",9
312,"train",10
313,"train",1
314,"train",2
315,"test",
316,"train",3
317,"train",4
318,"train",5
319,"train",6
320,"test",
321,"train",7
322,"train",8
323,"train",9
324,"train",10
325,"test",
326,"train",1
327,"train",2
328,"train",3
329,"train",4
330,"test",
331,"train",5
332,"train",6
333,"train",7
334,"train",8
335,"test",
336,"train",9
337,"train",10
338,"train",1
339,"train",2
340,"test",
341,"train",3
342,"train",4
343,"train",5
344,"train",6
345,"test",
346,"train",7
347,"train",8
348,"train",9
349,"train",10
350,"test",
351,"train",1
352,"train",2
353,"train",3
354,"train",4
355,"test",
356,"train",5
357,"train",6
358,"train",7
359,"train",8
360,"test",
361,"train",9
362,"train",10
363,"train",1
364,"train",2
365,"test",
366,"train",3
367,"train",4
368,"train",5
369,"train",6
370,"test",
371,"train",7
372,"train",8
373,"train",9
374,"train",10
375,"test",
376,"train",1
377,"train",2
378,"train",3
379,"train",4
380,"test",
381,"train",5
382,"train",6
383,"train",7
384,"train",8
385,"test",
386,"train",9
387,"train",10
388,"train",1
389,"train",2
390,"test",
391,"train",3
392,"train",4
393,"train",5
394,"train",6
395,"test",
396,"train",7
397,"train",8
398,"train",9
399,"train",10
400,"test",
401,"train",1
402,"train",2
403,"train",3
404,"train",4
405,"test",
406,"train",5
407,"train",6
408,"train",7
409,"train",8
410,"test",
411,"train",9
412,"train",10
413,"train",1
414,"train",2
